Teks_Komentar,teks_final
"negara tdk memberikan apa² tapi ketika kita punya gaji blm sempat diambil gajinya udah dipotong pajak dulu, padahal negara tdk pernah memberikan pekerjaan utk kita, tapi apapun yg kita lakukan semua utk negara",negara apaapa gaji ambil gaji potong pajak negara kerja laku negara
Bukankah itu artinya akhlak dan moral bangsa sudah buruk. Bukankah kalian punya kewajiban untuk memperbaikinya. Apakah melawan pemerintah memberikan ajaran yang baik? Apakah semua salah pemerintah saja?,arti akhlak moral bangsa buruk wajib lawan perintah ajar salah perintah
Kayak mobil bobrok. . BBM nya pertamax. . Percuma 😂😂😂😂😂😂,kayak mobil bobrok bbm pertamax wajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmata
"Lebih baik jual aja deh konoha, upss udh lama terjual siihh kitanya aja ngg sadar",jual deh konoha ups jual sadar
"Bang ray,coba buat film aja,tentang negaraa yg miskin,pemerintah korup dll yg mirip dengan negara kita,semua ide yg kau punya bisa terwujud di film itu,kayanya sangat menginspirasi🎉🎉kaya blueprint mimpi negqra indo,seandainya ini yg dilakukaaan hasilnya ini",raycoba film sajatentang negara miskinpemerintah korup dl negara kitasemua ide kau wujud film itukayanya menginspirasipartypopperpartypopperkayak blueprint mimpi negqra indonesiaseandainya dilakukaaan hasil
"Saya ada di tengah tengah mau keluar negeri tapi bingung g punya biaya, fasilitas dan saya anak tunggal yang harus memikirkan orang tua karena g punya kakak atau adik 😊😊",negeri bingung biaya fasilitas anak tunggal pikir orang tua kakak adik wajahtersenyumdenganmatabahagiawajahtersenyumdenganmatabahagia
disini pramugari aja korupsi uang taxi bang wkwkwk,pramugari korupsi uang taxi
"Di dunia kerja indo mau bener itu susah, pernah jadi korban ketidakadilan,  kemudian jadi pelaku dan akhirnya ninggalin semua. Pengalamamn 15 taun ini. Yang muda2 khususna yang punya idealis... Ya kabur aja dulu disini bukan tempatmu.",dunia kerja indonesia susah korban ketidakadilan laku tinggal pengalamamn muda khususna idealis kabur
Mau kabur kemana gaji 50 sampai 70 ribu / hari  orang kaya banyak pilihan  orang miskin   😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🎉😂,kabur gaji ribu orang kayak pilih orang miskin wajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatapartypopperwajahgembiraberuraiairmata
"Saya dari tahun  2004 kabur karena ingin memperbaiki masa depan , pada hal waktu itu saya lagi kerja di Balai penelitian karet Sembawa plg sumsel akhir nya sampai sekarang tinggal di luar terus",kabur kerja balai teliti karet sembawa pulang sumsel tinggal
Kabur aja dulu. Kalau kita diluar Indonesia kita sudah membantu negara karena tidak digaji pakai uang negara. Tanpa banyak ngomong kita sudah membantu negara😀… kalau kabur niat kan dengan baik supaya nanti diluar Indonesia dibimbing Allah ketemu dengan orang orang baik juga. Banyak kesempatan untuk berkembang di luar Indonesia. Jangan takut.,kabur indonesia bantu negara gaji pakai uang negara omong bantu negarawajahgembira kabur niat indonesia bimbing allah ketemu orang orang kembang indonesia takut
"I love statement ust.felix. Kalo pejabat bilang ""apa yang kita berikan kepada negara?"". Kita balikin aja ke mereka ""apa yg para pejabat berikan pada negara?"", toh andaikan mereka melakukan kebijakan yang bagus dan mensejahterakan rakyat, itupun tidak perlu kita apresiasi karena itu sudah tugas mereka, soalnya kita yang bayar gaji mereka dari pungutan pajak di semua lini.",love statement ustfelix jabat bilang ikan negara balikin jabat ikan negara andai laku bijak bagus sejahtera rakyat apresiasi tugas bayar gaji pungut pajak lini
Felix ngaji lagi ke Dr khalid...agar komentarnya tidak buat gaduh buat umat ..,felix aji khalidagar komentar gaduh umat
"Gaji di luar negri itu besar nanti lu tabung di indonesia gede banget bro, nanti lu kasih ke rek ema lu nilainya gede bro 😊",gaji negeri tabung indonesia gede banget kasih rek emak nilai gede wajahtersenyumdenganmatabahagia
Kabur aja dulu sebenarnya udah dari lama.. Suamiku kabur ke luar negeri dah dari dulu😂.. Emang enak banget hidup di luar negeri itu.. Ini siap² lagi kabur😅,kabur suami kabur negeri deh duluwajahgembiraberuraiairmata enak banget hidup negeri kaburwajahtersenyumlebardanberkeringat
"Aku lulus SMU langsung kabur ke HK.Alhamdulillah bertemu sama orang2 yang baik dan disini walaupun sebagai asisten tetap dihargai dan diberikan hak2nya.Yach walaupun tidak  kaya paling tidak bisa untuk mencukupi kebutuhan orang rumah diIndonesia....bagiku sudah cukup dan aku menikmati prosesnya😊Aku tetap cinta Indonesia meskipun kabur bukan berarti benci,namun untuk meringankan beban hidup keluarga.Dan secara tidak sadar aku  termasuk pahlawan devisa.Semangat dech diriku...yg mau nyusul boleh😂🎉",lulus smu langsung kabur hkalhamdulillah temu orangorang asisten harga haknyaya kayak butuh orang rumah diindonesiabagiku nikmat prosesnyawajahtersenyumdenganmatabahagiaaku cinta indonesia kabur arti bencinamun ringan beban hidup keluargadan sadar masuk pahlawan devisasemangat deh dirikuyang susul bolehwajahgembiraberuraiairmatapartypopper
Kalo kabur aja dulu dimasukin kedalam program TKI.mungkin pemerintah akan mendukung karena ada keuntungan balik😁,kabur masuk program tkimungkin perintah dukung untung balikwajahgembiradenganmatabahagia
"Inilah yang disebut Soekarno. ""Beri aku 10 pemuda, niscaya akan ku guncang dunia"" pemuda yang seperti ustad Felix dan bang Raymon. Bukan pemuda wkil Konoha. Ancur klo ada 10 pemuda kaya wkil mah😅",soekarno pemuda niscaya ku guncang dunia pemuda ustad felix raymon pemuda wkil konoha hancur pemuda kayak wkil mahwajahtersenyumlebardanberkeringat
"Coba bareng Ust Felix siauw bahas fokus satu tema tentang ""BEBAN PERADABAN"", Sepertinya ini akan seru kalau yang bahas Elu bang Raymond",coba bareng ust felix siauw bahas fokus tema beban adab seru bahas raymond
"aku cinta n bangga jadi indonesia katna tanahnya, tapi aku pilih kerja di malaysia karna pemerintah negaraku bobrok.",cinta n bangga indonesia katna tanah pilih kerja malaysia perintah negara bobrok
"alhamdulillah ust, sejak akhir 2023, aku sudah kabur ke Jepang 😂 setidaknya bisa bantu keluarga di Indonesia, tidak jadi beban keluarga lagi ❤",alhamdulillah ust kabur jepang wajahgembiraberuraiairmata bantu keluarga indonesia beban keluarga
Ak s7 kalau pak Prabowo kabur lagi aja seperti dulu,prabowo kabur
"Menurutku, rata2 pendapatan masyarakat dibawah 70 juta, dengan semua fasilitas yang hampir ditanggung sendiri. Dan tidak adanya keterbukaan atas detail pendapatan negara dan pengeluaran negara kepada masyarakat. Dan banyak sekali hukum yang benar2 rancu sehingga banyak sekali korupsi yang diperingan masa hukuman dan pencuri kayu yang sangat diperberat. Maka dari itu, sikap apatis dari masyarakat mulai muncul ya karena masyarakat tidak mengenal pemerintahannya. Jadi jangan bahas nasionalis dulu, tapi bagaimana cara menginfluence pemerintah ke masyarakat.",ratarata masyarakat juta fasilitas tanggung buka detail negara negara masyarakat hukum benarbenar rancu korupsi pering hukum curi kayu berat sikap apatis masyarakat muncul masyarakat kenal perintah bahas nasionalis menginfluence perintah masyarakat
"Pemerintah dahulu sebelum ini , seperti akar mati berbuah lebat dan Sangat transparan",perintah akar mati buah lebat transparan
KORUPSI ADALAH BUDAYA INDONESIA!!...👏👏👏,korupsi budaya indonesiatepuktangantepuktangantepuktangan
"Setuju banget sama ust felix. Ust Felix memilih bertahan tapi dengan syarat harus ada yg koordinir.   Kenapa sih tokoh² yg terpandang dengan memiliki prinsip yg bertolak belakang sama Pemerintahan saat ini, Gak Bersatu aja gitu??  Seperti Anis, Rocky Gerung, Ust Felix, Bang Reymond dan masih banyak banget lainnya. Kenapa mereka² ga bersatu buat koordinir kita semua yang merasa udah RISIH dengan keadaan skrg.",tuju banget ust felix ust felix pilih tahan syarat koordinir tokoh pandang milik prinsip tolak perintah anis rocky gerung ust felix reymond banget merekamereka koordinir risih
"Saya mencintai negara ini, tapi lihat kondisi makin hari makin parah, saya harus berpikir dan suara tentang rezim ini. cuman saya bingung ustadz apa yg harus kita lakukan selain bersuara, pemerintah tdk mau mendengar aspirasi kita. “NDASMU” adalah feedback pemerintah dari kritik rakyat",cinta negara lihat kondisi parah pikir suara rezim cuman bingung ustadz laku suara perintah dengar aspirasi ndasmu feedback perintah kritik rakyat
Seperti one Piece yg mengancam pemerintah dunia.. Suka bngt kalo koh Felix ngomongin one Piece di samakan dengan kehidupan nyata..,one piece ancam perintah dunia suka banget koh felix omong one piece hidup nyata
Kabur aja bg yg mampu terutama gen z n milinial ke ln gass,kabur utama gen n milinial ln gas
pemerintah nya duh pro diri sndiri sama kluarga nya  dan warga nya itu  kbnykan sifat nya seenak jidat hal apapun jga gak tertib,perintah duh pro keluarga warga kbnykan sifat enak jidat tertib
walo gw ikut imam Syafii tp utk hal ini gw setuju imam Hambali 👍,walo gue imam syafi gue tuju imam hambali jempolkeatas
"Market kerja memang sedang acak-acakan, terjadi di seluruh dunia dan diperparah dengan hype AI di mana-mana. Tapi justru peluang cari uang di luar kerja kantoran lebih terbuka, saya sendiri lagi belajar cari uang di luar kerjaan rutin, memang sulit tapi yaa namanya juga hidup ... mumpung ada AI 😁, jadi semangat aja karena saya yakin gak ada orang yang ditakdirkan miskin.",market kerja acakacakan dunia parah hype ai manamana peluang cari uang kerja kantor buka ajar cari uang kerja rutin sulit nama hidup mumpung ai wajahgembiradenganmatabahagia semangat orang takdir miskin
"Jika ada beban peradaban, maka andalah arsitek peradaban tsb. Krna andalah yg terpilih dan dipilih, sama Allah.",beban adab arsitek adab pilih pilih allah
Yang bilang loe gak Nasionalis kalo kita keluar negeri meninggalkan kewarganegaraan dan menjadi WN negara asing..tapi kalo sekedar cari penghidupan dan rejeki yang ada disana bisa lebih baik dan tetap punya KTP dan Pasport indonesia namanya itu ikhtiar..tapi kalo kaburnya bawa uang KORUPSI ke LN baru loe bilang itu RAMPOK NASIONALIS...Peace,bilang nasionalis negeri tinggal kewarganegaraan wn negara asingtapi dar cari hidup rejeki ktp pasport indonesia nama ikhtiartapi kabur bawa uang korupsi ln bilang rampok nasionalispeace
"Simpel sih sebenernya kalo pengen kerja gaji gede ya krja di luar negri aja, kalo pengen kaya di negara sendiri solusinya bakar kemenyan di bawah pohon gede, jaga lilin, 😂",simpel pengin kerja gaji gede krja negeri pengin kayak negara solusi bakar kemenyan pohon gede jaga lilin wajahgembiraberuraiairmata
"Betul Keadilan jadi alasan utamaorang kabur aja dulu, sampai pemerintah sudah berganti.",adil alas utamaorang kabur perintah ganti
Subhanallah... Pemerintahan Indonesia sangat berprestasi dan membanggakan... Mampu menyejahterakan rakyatnya🤭🤫,subhanallah perintah indonesia prestasi bangga sejahtera rakyatnyawajahdengantanganmenutupmulutwajahmenyuruhdiam
"Bang Raymond, tolong dibahas mengenai Danantara. Mulai dari siapa saja yang terlibat, dana yang dipakai dan dampaknya untuk investasi Indonesia ke depannya (reksadana, obligasi dan saham). Saat ini saya saja sudah ketar-ketir dengan semua ini, apalagi saya masih belajar untuk melakukan investasi kecil-kecilan.  Selama ini banyak sekali ekonom atau orang ahli yang berkata bahwa rasio investasi rakyat Indonesia rendah dibandingkan dengan luar negeri, tetapi mana bisa kita percaya jika hal seperti ini terus terjadi...",raymond tolong bahas kena danantara libat dana pakai dampak investasi indonesia reksadana obligasi saham ketarketir ajar laku investasi kecilkecilan ekonom orang ahli rasio investasi rakyat indonesia rendah banding negeri percaya
"sebenernya kita dimiskinkan ama negara gx sih, aku yg kerja mulu gaji kecil + anak pertama, gmna bisa growth kalo negara ga bantu orng yg nasibnya ke kita ini",miskin negara kerja mulu gaji anak growth negara bantu orang nasib
"InsyaAllah sya memilih kabur untuk stay, bukan stay untuk kabur, ❤",insyaallah pilih kabur stay stay kabur
"Alhamdulillah saya sudah labur duluan dari awal januari, sebelum kabur aja dulu viral. Karena sudah tidak memungkinkan untuk kebutuhan sehari hari. Tetap semangat yang di indonesia dan saya dsni tetap berjuang untuk indonesia ke depan✊✊✊",alhamdulillah labur duluan januari kabur viral butuh semangat indonesia juang indonesia depantanganterkepalkeatastanganterkepalkeatastanganterkepalkeatas
"Dengerin ini jadi nganggur, dan mereka gajian.🤦",dengar nganggur gajianorangtepukjidat
". Nyari kerja sampai setengah hari, dari skck hidup sampai mati, ongkos sana sini sampai kantong kering, kualifikasi loker dibatasi umur, tinggi,good looking udah kayak daftar isi, ada opsi pakai nyogok sana sini, rawan scammer, stuck karna finansial, harapan hanya berdoa saja kepada allah.. Jika finansial memadai atau ada kesempatan, mungkin opsi kabur aja dulu sepertinya tidak terlalu buruk, malah mungkin good alternative choice",cari kerja skck hidup mati ongkos kantong kering kualifikasi loker batas umur tinggigood looking kayak daftar isi opsi pakai nyogok rawan scammer stuck finansial harap doa allah finansial opsi kabur buruk good alternative choice
"Orang yang bilang Orang yg kerja / tinggal diluar Negeri itu di bilang tidak NASIONALISME itu Orang Bodoh dan tdk berkopenten.  Saya tinggal dan kerja di LN ...dan setiap 17 August mengikuti Upacara hari kemerdekaan di EMBASSY, dan Kami mensejahterakan Keluarga Saya ... apakah masih dibilang tdk Nasionalisme?😢",orang bilang orang kerja tinggal negeri bilang nasionalisme orang bodoh berkopenten tinggal kerja ln august upacara merdeka embassy sejahtera keluarga bilang nasionalismewajahmenangis
Terus mau kabur atau engga bang @raymonchin ?,kabur raymonchin
Di lingkungan saya laki2 99% merantau ke luar negeri karna sangat sulit untuk kita yg di pedesaan kerja gak ada kalau gak ada tanah nganggur serba sulit,lingkung lakilaki rantau negeri sulit desa kerja tanah nganggur serba sulit
pribumi pada kabur Negara dikuasai cindo ama habib Wkwkwk,pribumi kabur negara asai cindo habib
"DiMalaysiayg diutamakan skill ngak kira umur, semakin tinggi skill anda semakin tinggi gaji yang dapat tentu berbeda negara maju dgn negara baru membangun",dimalaysiayg utama skil umur skil gaji beda negara maju negara bangun
"Kebebasan brpendapat yg mmbuat indo susah maju,,contoh singapura,rusia,china,media dan msyrktnya dbatasi negara nya jd maju..org indo gmpang diadudomba trutama p jawa",bebas brpendapat mmbuat indonesia susah majucontoh singapurarusiachinamedia msyrktnya dbatasi negara majuorang indonesia gmpang diadudomba utama p jawa
Harusnya survey kepuasan kepada pemerintah itu 120%,survey puas perintah
Aku benar muak lihat pemerintah ini perjuangan apa yg harus dilakukan lg dah mati matian sdh juara satu pun tidak juga membuat dia melek tetap kelompokbya yg menang sedih Siapa ya yg akan mempwrjyangkan anak cucu kita terutama kita yg menengah ini Kalau Felik dan Remon ber bicara aku suka cara pandangnya,muak lihat perintah juang laku deh mati mati juara melek kelompokbya menang sedih mempwrjyangkan anak cucu utama felik remon ber bicara suka pandang
Pembahasan rumit...namun 1 hal yang di pemikiran gw...nsgara ini punya ekonomi...ekonomi maju...maka akan dirasakan mudah bagi rakyat nya untuk bergerak...negara ini sudah sulit berkembang...analisa pribadi gw...adalah perputaran uang di Indonesia sudah tidak sehat...memang ada digital sekarang...namun bukan kah uang akan selalu ada wujud nya...bagaimana ekonomi bisa maju dan berkembang...jika banyak pejabat dan orang2 beruntung yang masih menyimpan uang dalam bentuk nya diberangkas mereka???...begitu banyak nominal yang stuck dan tak bisa membantu ekonomi negara ini???...untuk kultur sosial...memang nampaknya ada gerakkan untuk membuat rakyat kita memang digaris bawah...agar mereka sulit bergerak...dan paham kan watak manusia???...jika sudah kepepet...penjahat datang pun...jika mampu memberikan solusi singkat...akan dianggap pahlawan...dan mereka rela berjuang demi kepentingan penjahat tersebut???,bahas rumitnamun pikir guensgara ekonomiekonomi majumaka mudah rakyat bergeraknegara sulit berkembanganalisa pribadi gueadalah putar uang indonesia sehatmemang digital sekarangnamun kah uang wujud nyabagaimana ekonomi maju berkembangjika jabat orangorang untung simpan uang bentuk diberangkas merekabegitu nominal stuck bantu ekonomi negara iniuntuk kultur sosialmemang nampaknya gerak rakyat gar bawahagar sulit bergerakdan paham watak manusiajika kepepetpenjahat punjika solusi singkatakan anggap pahlawandan rela juang jahat
