Teks_Komentar,teks_final,sentiment
Menuju indonesia .. Bank EMAS❌ GELAP HANCUR BUBAR✅,tuju indonesia bank emas gelap hancur bubar,Positif
"banyak org cerdas di indo, yg naik ampas 😂",orang cerdas indo ampas,Positif
"Ust. Felix ini pendakwah iya, aktivis iya, komedian juga iya. Pentesan dianggap ""radikal"", karena ga ada yang bisa jatuhin dia.",ust felix dakwah iya aktivis iya komedian iya pentesan anggap radikal tidak ada jatuhin,Netral
"sedang menunggu ketua membuka forum, dimana isinya pembahasan indonesia berkelanjutan tentang masa depan negara ini, dan sama² mengkawal kesejahteraan rakyat, sekali lagi saya menunggu ketua yg mau membuat aksi atau forum tentang diatas, saya siap dan yakin maju bersama² mengukir sejarah baru. karna tiap 1 detik sebelumnya adalah sejarah😢",tunggu ketua buka forum isi bahas indonesia negara kawal sejahtera rakyat tunggu ketua aksi forum maju ukir sejarah detik belum sejarah,Negatif
"Betul kepuasan pada pemerintah  itu 80%, tapi khusus untuk para pejabat terutama para mentrinya.",puas pemerintah khusus jabat utama tri,Positif
Negara ini memeras orang kaya dan memperalat orang miskin 😅bener gk sih ?,negara peras orang kaya alat orang miskin bener tidak,Positif
"Jaman pra kemerdekaan, orang2 yg sekolah keluar negeri, pulang memperjuangkan kemerdekaan dg cara yg lebih strategik.",jaman pra merdeka orang sekolah negeri pulang juang merdeka strategik,Negatif
duo cindo daging samuoo.. like kohhh 😘😘😘,duo cindo daging samuoo like koh,Netral
"Gak perlu ke LN, nonton short ttg keadaan d LN yg mnurut diri jomplang dg dalam negeri aja uda berandai andai, udah kok kok kok  Hehe",tidak nonton short ada luar negeri mnurut jomplang negeri beranda andai hehe,Positif
"Awalnya memang puas, tapi setelah pernyataan hidup Jokowi, saya sudah tidak yakin",puas nyata hidup jokowi tidak,Positif
Logikanya sih bener survei 80% kenapa pada kabur aja dulu.😂😂😂,logika bener survei kabur,Positif
KABUR AJA DULU KE YORDANIA...  kali aja balik2 minimal jadi KADES lahhh.. 😊..,kabur yordania kali minimal kades lahhh,Positif
"Endingnya adalah harapan kita bersama, Ustadz Felix dan Ko Raymond, kalian sudah ada bekal punya 'nama', punya wadah yang lumayan besar untuk menyampaikan aspirasi dan memulai 'pergerakan' lewat channel kalian. Pliss kuat-kuat ya kalian - kita juga, untuk berada di barisan rakyat (semoga nggak kena kayak yang lainnya 😅, karena dijadiin stafsus endingnya jadi nggak bisa netral dan bersuara lantang mengkritik yang harus dikritik iykwim, wkwk). Last but not least “kalau mau hidup susah, ayo kita fight bareng” Bismillah yuk!",endingnya harapan ustadz felix raymond ada bekal nama wadah lumayan aspirasi gera channel tolong kuat kuat ada baris rakyat moga tidak kena dijadiin stafsus endingnya tidak netral suara lantang kritik kritik iykwim last least hidup susah ayo fight bareng bismillah,Negatif
Kebenaran adalah kejahatan yang nyata bagi pemerintah,jahat nyata pemerintah,Positif
"ketika INDONESIAKU sedang dalam Kegelapan, apakah akan terjadi hal"" yg tidak di inginkan..?!! 😌",indonesia gelap tidak,Positif
"gue pengin bikin open source buat system digitalisasi indonesia, tolong developer, designer, security atau apapun comment, nanti kita bikin group",bikin open source digitalisasi indonesia tolong developer designer security comment bikin group,Negatif
"Keadilan terutama maraknya kejahatan malam yang hukumanya masih ringan sumpah kita masih bisa tahan karna masalah ekonomi tapi kita gabisa tahan dengan kejahatan kaya gengster ,begal yang hukumanya masih lemah sumpaaaah ,kita udah terbiasa hidup sengsara tapi kita cuman butuh rasa aman doang dalam hidup di negara sendiri,.",adil utama marak jahat malam hukum ringan sumpah tahan ekonomi tidak tahan jahat kaya gengster begal hukum lemah sumpaaaah hidup sengsara butuh aman hidup negara,Positif
"BUTUH PEMBANDING untuk merasakan indahnya berada dalam situasi daily life nyaman, kepastian hukum yang adil, keamanan, untuk bisa membuat kita complain dengan apa yang kita rasakan di Indonesia SAAT INI.  dan BUTUH KECERDASAN untuk menganalisa bahwa seharusnya kita sebagai rakyat di negri yang kaya, BERHAK DAPAT YANG LEBIH BAIK.  masalahnya di Indonesia, yg punya kesempatan untuk mencicipi pembanding dan punya kecakakapan ilmu untuk menagih haknya NGGAK BANYAK. semua penderitaan dianggap lumrah, BLT dianggap berkah dan yang complain dianggap BERISIK. Menyedihkan sebetulnya, kita cinta negerinya, tp negeri yang mayoritas rakyatnya dibuat bodoh dan dibuat gabisa membandingkan ini, seperti dikerdilkan situasi.",butuh banding indah ada situasi daily life nyaman hukum adil aman complain indonesia butuh cerdas menganalisa rakyat negeri kaya hak indonesia cicip banding kecakakapan ilmu tagih hak tidak derita anggap lumrah blt anggap berkah complain anggap berisik sedih cinta negeri negeri mayoritas rakyat bodoh tidak banding kerdil situasi,Negatif
Mudah mudahan hanya modal ngomong doang negara ini bisa adil dan makmur.,mudah mudah modal ngomong negara adil makmur,Positif
"*Satu Lagu* 😊  *Intro* Di ujung timur, matahari menyingsing Menyemarakkan Nusantara, penuh semangat membara! Dari Sabang sampai Merauke, kita bersatu padu!  Nusantara baru, berdaya sakti, Indonesia maju!!! Ribuan pulau, gunung megah, hutan hijau, semua jadi satu, Indonesia kesatuan (Indonesia kesatuan)  *Chorus:* Nusantara perkasa, Indonesia berjaya! Dengan gotong royong, kita pasti hebat dan kuat! Dari generasi ke generasi, semangat juang takkan padam Mari bersama, bangun negeri tercinta! Indonesia Raya!  *Verse:* Anak-anak bangsa, tunjukkan prestasi! Jadilah bangga sebagai Indonesia, Berbudi luhur di mata dunia! Para pahlawan, telah gugur demi bangsa! Mari kita lanjutkan, perjuangan tak henti! Jayalah Bangsa!  *Bridge:* Indonesia tanah airku, negeri yang kucinta... Dengan kekayaan alam, budaya pekerti yang luhur... Mari kita jaga, lestarikan, dan majulah tak surut Untuk generasi mendatang, masa depan makmur berbahagia!",lagu intro ujung timur matahari singsing semarak nusantara penuh semangat bara sabang merauke padu nusantara daya sakti indonesia maju ribu pulau gunung megah hutan hijau indonesia indonesia chorus nusantara perkasa indonesia jaya gotong royong hebat kuat generasi generasi semangat juang padam mari bangun negeri cinta indonesia raya verse anak anak bangsa prestasi bangga indonesia budi luhur mata dunia pahlawan gugur bangsa mari juang henti jaya bangsa bridge indonesia tanah air negeri cinta kaya alam budaya pekerti luhur mari jaga lestari maju surut generasi makmur bahagia,Negatif
"sorry, gw lebih kecewa dengan pemilih 2014 dan 2019. dulu gw di kata2in orang sdm rendah, orang ini itu. skrg kalian baru sadar dan menyalahkan pemerintah baru.   SALAHIN DIRI LU YANG MILIH DIA DULU. INI SEMUA GARA2 KALIAN.",sorry kecewa pilih orang sdm rendah orang sadar salah pemerintah salahin milih gara,Positif
Keren ❤ lanjutkan perjuangan kalian . Saya resah dengan keadaan kita disini tp saya juga salah satu yg gk bs kabur dr sini. Sya hanya bs bantu doa  smoga kalian berdua selalu dlm lindungan Allah. Amin ya rabbal alamin,keren juang resah ada salah tidak kabur bantu doa moga lindung allah rabbal alamin,Positif
"Bang Raymond.....fenomena kabur aja dulu kok aku berfikir nya ini penarikan productive people oleh negara-negara depopulasi seperti eropa, jepang dll (kejauhan ya mikir nya🤔), jadi fenomena ini kaya yang di goreng sama mereka yang butuh orang-orang produktif, buktinya duta besar Jepang gercep banget merespon fenomena ini.  Saya pun sangat tidak suka dengan kondisi negara kita saat ini, tapi bukan kah sebaik nya kita semua perbaiki hal-hal yang Salah di negara ini, mungkin tidak mudah, tapi pasti bisa jika dilakukan bersama-sama, dengan cara yang baik tentunya.  Tapi kembali lagi sih, jika ingin meningkatkan taraf hidup yang lebih baik Dan satu-satunya cara adalah dengan bekerja di luar negeri ya silahkan......hanya saya Masih percaya bahwa kita Masih bisa meningkatkan taraf hidup yang lebih baik di Indonesia, kuncinya dengan ilmu.  Terakhir, doa saya tetap yang terbaik untuk Indonesia Dan pemuda pemudi nya serta seluruh rakyat Indonesia, semoga juga pejabat-pejabat yang dzalim segera bertaubat.",raymond fenomena kabur berfikir tari productive people negara negara depopulasi eropa jepang dll mikir fenomena kaya goreng butuh orang orang produktif bukti duta jepang gercep banget merespon fenomena tidak suka kondisi negara tidak kah salah negara tidak mudah laku tingkat taraf hidup kerja luar negeri silah percaya tingkat taraf hidup indonesia kunci ilmu doa indonesia pemuda pemudi rakyat indonesia moga jabat jabat dzalim taubat,Negatif
Setuju banget...kabur aja itu mungkin bisa solusi jangka pendek. Kita harus benahi semua agar anak cucu kita bisa hidup berkah,setuju banget kabur solusi jangka pendek benah anak cucu hidup berkah,Negatif
"Sistem pak ,sistem .pilihan aman raih ke atas tolong ke bawah , makmur keluarga dan sekitar kita dan makmurkan kampung yg kita tempati, kuncinya fokus aja ke produktif orang kaya dilingkungan kita nanam investor, di olah lembaga otoritas lingkungan rt, dilaksanakan oleh warga 1 rt ,alhasil gak ada yg nganggur 1 rt ,penentuan produk dikembalikan produk yang memiliki nilai sehat dan berguna",sistem sistem pilih aman raih tolong makmur keluarga makmur kampung kunci fokus produktif orang kaya lingkung nanam investor olah lembaga otoritas lingkung laksana warga alhasil tidak ada nganggur produk produk milik nilai sehat,Negatif
Ya benar banget mempersatukan orang baik itu sulit sekali.. tapi bukan berarti tidak bisa... Terus berjuang bersama untuk mempersatukan orang baik untuk merubah sistem yang rusak di negeri ini .. fokus pada ini.. semoga Allah mudahkan kita segera bersatu untuk wujudkan sistem yang baik di negeri ini ...,banget orang sulit tidak arti tidak juang orang rubah sistem rusak negeri fokus moga allah mudah wujud sistem negeri,Negatif
gilakkkk keren parahhh raymond chinss,gilakkkk keren parahhh raymond chinss,Netral
"Kepala Penguasa dan tangan kanannya dikonoha mirip dengan usia bokap gw dan dedek gw. Bokap gw Uda pensiun Krn sakit komplikasi. Dedek gw mash plengak plengok sana sini Krn blm pernah seuntuhnya turun tangan bekerja sepenuhnya. Basi bila keadaan sekarang sesumbar hny bisa omon omon dan janji palsu doank tp kenyataannya beda dilapangan. Pakelh ndasmu bila mau pidato bl ndasmu masih normal dengan usia begitu. Lah bokap gw jg seusia begitu malah makin bijaksana dan beretika bl diskusi bareng gw ttg sst yg isinya daging poll buat nyari solusi dipekerjaan, bukan hny omon omon omon saja tanpa logika dan etika 😂😂😂....baaaassiiii pollll, ingat umur Uda bau tanaaaah. Bolehkah Test IQ kalian dihadapan masyarakat konoha?????? 😂😂😂",kepala kuasa tangan kanan dikonoha usia bokap dedek bokap pensiun sakit komplikasi dedek mash plengak plengok tidak seuntuhnya turun tangan kerja sepenuh basi ada sesumbar omon omon janji palsu doank nyata beda lapang pakelh ndasmu pidato ndasmu normal usia bokap usia bijaksana etika diskusi bareng sst isi daging poll nyari solusi kerja tidak omon omon omon tidak logika etika baaaassiiii pollll umur bau tanaaaah test hadap masyarakat konoha,Positif
"Saya kurang setuju klo dibandginnya dengan turki. setau saya oposisi di turki dibungkam semua sama presiden sekarang. klo pengen sprti turki, brrti oposisi harus dibungkam dong😅. kemudian soal tagar kabur aja dlu sebenernya g ada kaitannya dengan nasionalisme, selama orang tersebut statusnya msh WNI. toh mereka yg keluar negeri jg nsgh kontribusi ke negara, salah satunya devisa. emang rada aneh aja menteri yg bilng kaburajadlu nasionalismenya dipertanyakan 😅",setuju dibandginnya turki oposisi turki bungkam presiden ken turki brrti oposisi bungkam tagar kabur tidak ada kait nasionalisme orang status wni negeri nsgh kontribusi negara salah devisa emang aneh menteri bilng kabur nasionalisme,Positif
"Kok bukan orang-orang di tayangan ini sih yg jd stafsus kepemerintahan, seenggaknya bisa menyumbang otak yg berfungsi, Barakallah ko Felix sama ko Ray",tidak orang orang tayang stafsus perintah enggak sumbang otak fungsi barakallah felix ray,Negatif
Ustadz felix udah gak ingin bikin negara kilafah?,ustadz felix tidak bikin negara kilafah,Netral
"Aroo,kabur2dasar penakut,ujan  emas di negeri orang",aroo kabur dasar takut ujan emas negeri orang,Negatif
"seandainya orang pintar gini ada di pemerintahan, jadi negara maju nih",orang pintar gin ada perintah negara maju,Negatif
"maksud ko felix itu luhut, opung benalu dipemerintahan hati nya gelap dan busuk persis mulyono wkkwk yang terang keponakan nya",maksud felix luhut opung benalu perintah hati gelap busuk persis mulyono wkkwk terang keponakan,Positif
"saya berharap orang-orang pintar dan cerdas di Indonesia jangan ada kabur tapi tetap tinggal di Negaranya untuk menggunakan kepintaran dan kecerdasannya untuk memperbaiki masalah yang ada di negara tercinta kita. Walaupun itu sedikit, tapi jika yang sedikit itu berkumpul maka akan jadi banyak juga",harap orang orang pintar cerdas indonesia tidak ada kabur tinggal negara pintar cerdas ada negara cinta kumpul,Negatif
"kalau kabur aja dibilang ga nasionalis, apakabar aparat pejabat yang korup? mentri sdm rendah gak bisa bedain nasionalis ama muak",kabur bilang tidak nasionalis apakabar aparat jabat korup menteri sdm rendah tidak bedain nasionalis muak,Positif
"Sehat selalu ustadz, agar bisa selalu memberikan ilmu ke masyarakat Indonesia",sehat ustadz ilmu masyarakat indonesia,Netral
"mantaf ustd felix , ketidakadilan itu yang paling nyesek buat rakyat indo, pemimpin indon haya cari gajih tinggi kerja cuman pencitraan aja ga ada buktinya, yg ada hanya proyek fiktip, hutang negara melambung rakyat tetep miskin.",mantaf ustadz felix ketidakadilan nyesek rakyat indo pimpin indon haya cari gaji kerja citra tidak ada bukti ada proyek fiktip hutang negara lambung rakyat miskin,Positif
Saya seorang guru. Saya tidak memilih kabur aja dulu. Karena saya punya tanggung jawab atas generasi. Semoga generasi yang kubdidik menjadi warganegara yang baik.,orang guru tidak pilih kabur tanggung generasi moga generasi kubdidik warganegara,Negatif
Singapore taiwan bangun siang,singapore taiwan bangun siang,Positif
Sayangnya susah sekali membuat orang2 di daerah ku melek seperti kalian. Semoga aku bisa membuat pemahaman kalian sampe di sekitarku. Amin..,sayang susah orang daerah melek moga paham,Negatif
"Banyak org pinter ehhh dimatiin harapannya, nggak difasilitasi... Ya wajarlah kalau mereka kabur, Hiduplah ditempat yang bisa menghargaimu, katanya gitu. Selama tempat itu bagus dan memberikan positif thing ke kita, kenapa nggak ya kan..",orang pintar dimatiin harap tidak fasilitas wajar kabur hidup harga gitu bagus positif thing tidak,Positif
"Koh, temenya yg bikin family office di sg bukan sih 🤔🤫",koh temenya bikin family office singapura tidak,Netral
"Sejak dahulu kezaliman telah terjadi dan hancur berulangkali dari jaman² yang dimana mereka melebihi batas. Jangan khawatir kawan, semua akan berlalu.",zalim hancur berulangkali jaman batas tidak khawatir kawan,Netral
"Sebenarnya kekuatan besar suatu negara itu di rakyatnya,tapi kenapa kok kita diombang ambingkan oleh pemerintah ya..? Seandainya kalo' seluruh rakyat negri ini kompak bersama sama tidak lagi membayar pajak,gimana ya nasib para pejabat² negri in,ya..?",kuat negara rakyat diombang ambing pemerintah rakyat negeri kompak tidak bayar pajak gimana nasib jabat negeri,Negatif
"sebenarnya bukan pemimpinnya,gini aja deh logikanya, kalian dapet jabatan di tempat yang udh ga pernah nurutin atasannya apa nanti bawahan kalian langsung berubah pas dipimpin sama kalian ?,ngga mungkin langsung dong,didalam lingkungan politik yang jelek gini maupun kita sealim alimnya kyk apa pasti kita gabisa menghindari yang namanya lingkungan toxic,nah sebenarnya yang salah bawahannya pemimpin yng udh terbiasa ga mikirin rakyat kecil, contoh aja korea selatan, pemimpinnya yang salah tpi klo punya pondasi yang kuat ga bakal ngaruh.",tidak pimpin gin logika jabat tidak nurutin langsung ubah pas pimpin ngga langsung lingkung politik jelek gin alim alim tidak hindar nama lingkung toxic salah pimpin tidak pikir rakyat contoh korea selatan pimpin salah pondasi kuat tidak ngaruh,Negatif
